Text,Topics,Source
" (2)In section 11(1) of that Act (meaning of membership of police force or service in a police force), before paragraph (c) there shall be inserted—","['0.136*""police"" + 0.136*""force"" + 0.091*""paragraph"" + 0.091*""service"" + 0.091*""meaning""']",Criminal Justice and Police Act 2001 (c. 16).csv
 “(ba)service as the Director General of the National Criminal Intelligence Service;,"['0.200*""service"" + 0.133*""national"" + 0.133*""ba"" + 0.133*""criminal"" + 0.133*""director""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (bb)service as the Director General of the National Crime Squad;,"['0.143*""bb"" + 0.143*""national"" + 0.143*""director"" + 0.143*""general"" + 0.143*""squad""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (bc)service as a police member of the National Criminal Intelligence Service appointed under subsection (1)(b) of section 9 of the Police Act 1997 by virtue of subsection (2)(a) of that section;,"['0.100*""subsection"" + 0.100*""section"" + 0.100*""police"" + 0.100*""service"" + 0.067*""intelligence""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (bd)service as a police member of the National Crime Squad appointed under subsection (1)(b) of section 55 of the Police Act 1997 by virtue of subsection (2)(a) of that section;”.,"['0.103*""subsection"" + 0.103*""police"" + 0.103*""section"" + 0.069*""member"" + 0.069*""appointed""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (3)In section 11(2) of that Act (meaning of “police authority”), for paragraphs (c) and (d) (service for which the service Authorities for the NCIS and NCS are treated as police authorities) there shall be substituted—","['0.103*""service"" + 0.103*""police"" + 0.103*""authorities"" + 0.069*""c"" + 0.069*""section""']",Criminal Justice and Police Act 2001 (c. 16).csv
" “(c)in relation to any such service as is mentioned in subsection (ba) or (bc) above or any service of the kind described in section 97(1)(ca) of the Police Act 1996 (c. 16) or section 38A(1)(ba) of the Police (Scotland) Act 1967 (c. 77), it means the Service Authority for the National Criminal Intelligence Service;","['0.111*""service"" + 0.067*""section"" + 0.067*""act"" + 0.067*""ba"" + 0.067*""police""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (4)In section 11(3)(b) of that Act (meaning of “police force”), after “(ab),” there shall be inserted “ (ba), (bb), (bc), (bd) ”.","['0.077*""ba"" + 0.077*""police"" + 0.077*""bb"" + 0.077*""act"" + 0.077*""ab""']",Criminal Justice and Police Act 2001 (c. 16).csv
" 127 Pensions for ACPO staffU.K.(1)The persons to whom section 1 of the Superannuation Act 1972 (c. 11) (“the 1972 Act”) applies (persons to or in respect of whom benefits may be provided by schemes under that Act) shall include persons who at any time after the coming into force of this section are serving in employment with the Association of Chief Police Officers of England, Wales and Northern Ireland; and, accordingly, in Schedule 1 to that Act (kinds of employment to which that Act applies), in the entries under the heading “Other bodies”, there shall be inserted, at the appropriate place—","['0.075*""act"" + 0.050*""persons"" + 0.038*""section"" + 0.037*""shall"" + 0.037*""employment""']",Criminal Justice and Police Act 2001 (c. 16).csv
" “The Association of Chief Police Officers of England, Wales and Northern Ireland”.","['0.125*""wales"" + 0.125*""association"" + 0.125*""england"" + 0.125*""police"" + 0.125*""ireland""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (2)Section 1 of the 1972 Act shall also apply to persons who at any time before the coming into force of this section have ceased to serve with the Association of Chief Police Officers of England, Wales and Northern Ireland.","['0.077*""section"" + 0.051*""chief"" + 0.051*""coming"" + 0.051*""association"" + 0.051*""police""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (3)The Association of Chief Police Officers of England, Wales and Northern Ireland shall pay to the Minister for the Civil Service, at such times as he may direct, such sums as he may determine in respect of any increase attributable to this section in the sums payable under the 1972 Act out of money provided by Parliament.","['0.054*""sums"" + 0.054*""may"" + 0.036*""minister"" + 0.036*""civil"" + 0.036*""attributable""']",Criminal Justice and Police Act 2001 (c. 16).csv
 Minor and consequential amendmentsU.K.128 Amendments relating to NCIS and NCSU.K.(1)Schedule 6 to this Act (which makes minor and consequential amendments relating to this Part) shall have effect.,"['0.115*""minor"" + 0.115*""amendments"" + 0.115*""consequential"" + 0.115*""relating"" + 0.077*""schedule""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (2)In relation to any time before the coming into force of section 2(3) of the Police (Northern Ireland) Act 2000 (c. 32), the reference to the Northern Ireland Policing Board in Schedule 2A to the 1997 Act (inserted by Schedule 6 to this Act) shall be construed as a reference to the Police Authority for Northern Ireland.","['0.093*""act"" + 0.093*""ireland"" + 0.093*""northern"" + 0.070*""police"" + 0.070*""reference""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Commencement InformationI12S. 128 partly in force; s. 128 not in force at Royal Assent see s. 138; s. 128 in force for specified purposes at 1.8.2001 by S.I. 2001/2223, art. 3(h) Part 6 U.K. Miscellaneous and supplemental Remands and committalsE+W129 Requirement to give reasons for granting or continuing bailE+W(1)After section 5(2) of the Bail Act 1976 (c. 63) (supplementary provisions about decisions on bail) there shall be inserted—","['0.073*""force"" + 0.055*""bail"" + 0.036*""commencement"" + 0.036*""partly"" + 0.036*""provisions""']",Criminal Justice and Police Act 2001 (c. 16).csv
" “(2A)Where a magistrates’ court or the Crown Court grants bail in criminal proceedings to a person to whom section 4 of this Act applies after hearing representations from the prosecutor in favour of withholding bail, then the court shall give reasons for granting bail.","['0.091*""bail"" + 0.091*""court"" + 0.045*""section"" + 0.045*""favour"" + 0.045*""criminal""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (2B)A court which is by virtue of subsection (2A) above required to give reasons for its decision shall include a note of those reasons in the record of its decision and, if requested to do so by the prosecutor, shall cause the prosecutor to be given a copy of the record of the decision as soon as practicable after the record is made.”","['0.089*""decision"" + 0.089*""record"" + 0.067*""prosecutor"" + 0.067*""shall"" + 0.067*""reasons""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (2)After section 5A(1) of that Act (supplementary provisions in cases of police bail) there shall be inserted—,"['0.125*""shall"" + 0.125*""provisions"" + 0.125*""police"" + 0.125*""act"" + 0.125*""bail""']",Criminal Justice and Police Act 2001 (c. 16).csv
 “(1A)Subsections (2A) and (2B) shall be omitted.”,"['0.333*""omitted"" + 0.333*""subsections"" + 0.333*""shall""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (3)After section 5B(8) of that Act (reconsideration of decisions granting bail) there shall be inserted—,"['0.143*""decisions"" + 0.143*""granting"" + 0.143*""shall"" + 0.143*""bail"" + 0.143*""act""']",Criminal Justice and Police Act 2001 (c. 16).csv
" “(8A)Where the court, on a reconsideration under this section, refuses to withhold bail from a relevant person after hearing representations from the prosecutor in favour of withholding bail, then the court shall give reasons for refusing to withhold bail.","['0.105*""bail"" + 0.079*""withhold"" + 0.079*""court"" + 0.053*""reasons"" + 0.053*""representations""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (8B)In subsection (8A) above, “relevant person” means a person to whom section 4(1) (and Schedule 1) of this Act is applicable in accordance with subsection (4) above.","['0.150*""subsection"" + 0.150*""person"" + 0.100*""applicable"" + 0.100*""means"" + 0.100*""act""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (8C)A court which is by virtue of subsection (8A) above required to give reasons for its decision shall include a note of those reasons in any record of its decision and, if requested to do so by the prosecutor, shall cause the prosecutor to be given a copy of any such record as soon as practicable after the record is made.”","['0.091*""record"" + 0.068*""shall"" + 0.068*""prosecutor"" + 0.068*""reasons"" + 0.068*""decision""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (4)In Part 1 of Schedule 1 to that Act, paragraph 9A (court to give reasons for granting bail in certain homicide and rape cases) shall be omitted.","['0.067*""reasons"" + 0.067*""granting"" + 0.067*""cases"" + 0.067*""bail"" + 0.067*""give""']",Criminal Justice and Police Act 2001 (c. 16).csv
 F227130 Remands and committals to secure accommodation etcE+W. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.250*""committals"" + 0.250*""remands"" + 0.250*""secure"" + 0.250*""accommodation""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Textual AmendmentsF227S. 130 omitted (3.12.2012) by virtue of Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 12 para. 47; S.I. 2012/2906, art. 2(j) (with art. 7(2)(3))131 Monitoring of compliance with bail conditionsE+W(1)In section 3 of the Bail Act 1976 (c. 63) (general provisions), after subsection (6) there shall be inserted—","['0.067*""art"" + 0.067*""act"" + 0.067*""bail"" + 0.044*""subsection"" + 0.044*""sentencing""']",Criminal Justice and Police Act 2001 (c. 16).csv
" “(6ZAA)Subject to section 3AA below, if he is a child or young person he may be required to comply with requirements imposed for the purpose of securing the electronic monitoring of his compliance with any other requirement imposed on him as a condition of bail.”","['0.081*""imposed"" + 0.054*""comply"" + 0.054*""required"" + 0.054*""person"" + 0.054*""subject""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (2)After that section there shall be inserted—,"['0.500*""section"" + 0.500*""shall""']",Criminal Justice and Police Act 2001 (c. 16).csv
 “3AA Electronic monitoring of compliance with bail conditions(1)A court shall not impose on a child or young person a requirement under section 3(6ZAA) above (an “electronic monitoring requirement”) unless each of the following conditions is satisfied.,"['0.083*""electronic"" + 0.083*""requirement"" + 0.083*""monitoring"" + 0.083*""conditions"" + 0.056*""unless""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (2)The first condition is that the child or young person has attained the age of twelve years.,"['0.111*""person"" + 0.111*""twelve"" + 0.111*""first"" + 0.111*""child"" + 0.111*""condition""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (3)The second condition is that—,"['0.500*""second"" + 0.500*""condition""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (ii)would, if he were convicted of the offences with which he is charged, amount,","['0.167*""would"" + 0.167*""charged"" + 0.167*""amount"" + 0.167*""convicted"" + 0.167*""ii""']",Criminal Justice and Police Act 2001 (c. 16).csv
 to a recent history of repeatedly committing imprisonable offences while remanded on bail or to local authority accommodation.,"['0.091*""authority"" + 0.091*""committing"" + 0.091*""imprisonable"" + 0.091*""bail"" + 0.091*""history""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (4)The third condition is that the court—,"['0.500*""condition"" + 0.500*""third""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (5)The fourth condition is that a youth offending team has informed the court that in its opinion the imposition of such a requirement will be suitable in the case of the child or young person.,"['0.067*""case"" + 0.067*""imposition"" + 0.067*""person"" + 0.067*""young"" + 0.067*""team""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (6)Where a court imposes an electronic monitoring requirement, the requirement shall include provision for making a person responsible for the monitoring; and a person who is made so responsible shall be of a description specified in an order made by the Secretary of State.","['0.075*""person"" + 0.075*""shall"" + 0.075*""responsible"" + 0.075*""requirement"" + 0.075*""monitoring""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (7)The Secretary of State may make rules for regulating—,"['0.200*""may"" + 0.200*""rules"" + 0.200*""make"" + 0.200*""secretary"" + 0.200*""state""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (8)Rules under this section may make different provision for different cases.,"['0.200*""different"" + 0.133*""provision"" + 0.133*""may"" + 0.133*""rules"" + 0.133*""cases""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (9)Any power of the Secretary of State to make an order or rules under this section shall be exercisable by statutory instrument.,"['0.091*""order"" + 0.091*""shall"" + 0.091*""make"" + 0.091*""state"" + 0.091*""power""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (10)A statutory instrument containing rules made under this section shall be subject to annulment in pursuance of a resolution of either House of Parliament.,"['0.071*""either"" + 0.071*""containing"" + 0.071*""resolution"" + 0.071*""annulment"" + 0.071*""shall""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (11)In this section “local authority accommodation” has the same meaning as in the Children and Young Persons Act 1969 (c. 54).,"['0.111*""young"" + 0.111*""section"" + 0.111*""accommodation"" + 0.111*""authority"" + 0.111*""local""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (12)For the purposes of this section a petty sessions area is a relevant area in relation to a proposed electronic monitoring requirement if the court considers that it will not be practicable to secure the electronic monitoring in question unless electronic monitoring arrangements are available in that area.”,"['0.091*""monitoring"" + 0.091*""area"" + 0.091*""electronic"" + 0.045*""court"" + 0.045*""arrangements""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (3)In subsection (7) of that section (cases where parent or guardian may be required to secure compliance with requirements), after “(6)” there shall be inserted “ , (6ZAA) ”.","['0.083*""may"" + 0.083*""requirements"" + 0.083*""required"" + 0.083*""inserted"" + 0.083*""subsection""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (4)In section 3A(3) of that Act (which modifies section 3 of that Act in its application to bail granted by a custody officer), after “subsections” there shall be inserted “ (6ZAA), ”.","['0.125*""section"" + 0.125*""act"" + 0.083*""officer"" + 0.083*""modifies"" + 0.083*""inserted""']",Criminal Justice and Police Act 2001 (c. 16).csv
 F228132 Monitoring of compliance with conditions of non-secure remandE+W. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.333*""conditions"" + 0.333*""monitoring"" + 0.333*""compliance""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Textual AmendmentsF228S. 132 omitted (3.12.2012) by virtue of Legal Aid, Sentencing and Punishment of Offenders Act 2012 (c. 10), s. 151(1), Sch. 12 para. 47; S.I. 2012/2906, art. 2(j) (with art. 7(2)(3))F229133 Arrangements for detention in secure training centresE+W. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","['0.086*""art"" + 0.057*""punishment"" + 0.057*""sch"" + 0.057*""j"" + 0.057*""arrangements""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Textual AmendmentsF229S. 133 repealed (1.12.2020) by Sentencing Act 2020 (c. 17), s. 416(1), Sch. 28 (with ss. 413(4)(5), 416(7), Sch. 27); S.I. 2020/1236, reg. 2 Criminal recordsE+W+N.I.134 Registration for criminal records purposesE+W+N.I.(1)After section 120 of the 1997 Act there shall be inserted—","['0.111*""act"" + 0.111*""criminal"" + 0.111*""sch"" + 0.074*""shall"" + 0.074*""sentencing""']",Criminal Justice and Police Act 2001 (c. 16).csv
" “120A Refusal and cancellation of registration(1)The Secretary of State may refuse to include a person in the register maintained for the purposes of this Part if it appears to him that the registration of that person is likely to make it possible for information to become available to an individual who, in the Secretary of State’s opinion, is not a suitable person to have access to that information.","['0.074*""person"" + 0.056*""secretary"" + 0.056*""state"" + 0.056*""registration"" + 0.056*""information""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (2)The Secretary of State may remove a person from the register if it appears to the Secretary of State—,"['0.200*""secretary"" + 0.133*""remove"" + 0.133*""state"" + 0.133*""may"" + 0.133*""appears""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (3)In determining for the purposes of this section whether an individual is a suitable person to have access to any information, the Secretary of State may have regard, in particular, to—","['0.071*""may"" + 0.071*""information"" + 0.071*""individual"" + 0.071*""purposes"" + 0.071*""suitable""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (4)It shall be the duty of the chief officer of any police force to comply, as soon as practicable after receiving it, with any request by the Secretary of State to provide the Secretary of State with information which—","['0.094*""secretary"" + 0.094*""state"" + 0.063*""soon"" + 0.063*""practicable"" + 0.063*""information""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (ii)a registered person; or,"['0.333*""person"" + 0.333*""registered"" + 0.333*""ii""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (iii)an individual who is likely to have access to information in consequence of the countersigning of applications by a particular applicant for registration or by a particular registered person;,"['0.111*""particular"" + 0.074*""likely"" + 0.074*""iii"" + 0.074*""consequence"" + 0.074*""registered""']",Criminal Justice and Police Act 2001 (c. 16).csv
 and,[],Criminal Justice and Police Act 2001 (c. 16).csv
 (5)In this section “relevant matter” has the same meaning as in section 113.”,"['0.333*""section"" + 0.222*""relevant"" + 0.222*""matter"" + 0.222*""meaning""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (2)In section 119 of that Act (sources of information)—,"['0.250*""section"" + 0.250*""information"" + 0.250*""sources"" + 0.250*""act""']",Criminal Justice and Police Act 2001 (c. 16).csv
 “(1A)Any person who keeps a list mentioned in section 113(3A) or (3C) above shall make the contents of that list available to the Secretary of State for the purpose of enabling him to carry out his functions under this Part in relation to—,"['0.086*""list"" + 0.057*""mentioned"" + 0.057*""keeps"" + 0.057*""secretary"" + 0.057*""functions""']",Criminal Justice and Police Act 2001 (c. 16).csv
 and,[],Criminal Justice and Police Act 2001 (c. 16).csv
" (3)[F230In section 120(2) of that Act (duty to grant registration), after “Subject to” there shall be inserted “ section 120A and ”.]","['0.176*""section"" + 0.118*""registration"" + 0.118*""inserted"" + 0.118*""act"" + 0.118*""subject""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (4)[F231In section 120(3) of that Act (regulations about registration), after paragraph (a) there shall be inserted—","['0.167*""registration"" + 0.167*""act"" + 0.167*""shall"" + 0.167*""paragraph"" + 0.167*""regulations""']",Criminal Justice and Police Act 2001 (c. 16).csv
" “(aa)the nomination, in the case of a body corporate or unincorporate, of the individuals authorised to act for the body in relation to the countersigning of applications under this Part;","['0.111*""body"" + 0.074*""corporate"" + 0.074*""nomination"" + 0.074*""authorised"" + 0.074*""individuals""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (ab)the refusal by the Secretary of State, on such grounds as may be specified in or determined under the regulations, to accept or to continue to accept the nomination of a person as so authorised;”.]","['0.103*""accept"" + 0.069*""may"" + 0.069*""person"" + 0.069*""ab"" + 0.069*""authorised""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Textual AmendmentsF230S. 134(3) repealed (E.W.) (6.4.2006) by Criminal Justice Act 2003 (c. 44), ss. 332, 336, Sch. 37 Pt. 11; S.I. 2006/751, art. 2F231S. 134(4) repealed (E.W.) (6.4.2006) by Criminal Justice Act 2003 (c. 44), ss. 332, 336, Sch. 37 Pt. 11; S.I. 2006/751, art. 2 SupplementalU.K.135 Ministerial expenditure etcE+WThere shall be paid out of money provided by Parliament—","['0.079*""justice"" + 0.079*""ss"" + 0.079*""sch"" + 0.079*""act"" + 0.079*""repealed""']",Criminal Justice and Police Act 2001 (c. 16).csv
 136 General interpretationU.K.In this Act—,"['1.000*""general""']",Criminal Justice and Police Act 2001 (c. 16).csv
 “the 1984 Act” means the Police and Criminal Evidence Act 1984 (c. 60);,"['0.273*""act"" + 0.182*""means"" + 0.182*""evidence"" + 0.182*""police"" + 0.182*""criminal""']",Criminal Justice and Police Act 2001 (c. 16).csv
 “the 1996 Act” means the Police Act 1996 (c. 16); and,"['0.429*""act"" + 0.286*""means"" + 0.286*""police""']",Criminal Justice and Police Act 2001 (c. 16).csv
 “the 1997 Act” means the Police Act 1997 (c. 50).,"['0.429*""act"" + 0.286*""means"" + 0.286*""police""']",Criminal Justice and Police Act 2001 (c. 16).csv
 137 RepealsE+WThe enactments and instruments mentioned in Schedule 7 (which include spent provisions) are hereby repealed or (as the case may be) revoked to the extent specified in the third column of that Schedule.,"['0.091*""schedule"" + 0.061*""extent"" + 0.061*""case"" + 0.061*""enactments"" + 0.061*""third""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Commencement InformationI13S. 137 partly in force; s. 137 not in force at Royal Assent, see s. 138(2); s. 137 partly in fo S. 137 partly in force; s. 137 not in force at Royal Assent see s. 138; s. 137 in force for certain purposes at 19.6.2001 by S.I. 2001/2223, art. 2(1)(f); s. 137 in force for certain purposes at 1.8.2001 by S.I. 2001/2223, art. 3(j); s. 137 in force for certain purposes at 1.12.2001 and 1.1.2002 by S.I. 2001/3736, arts. 2(e), 3(b); s. 137 in force for certain purposes at 1.4.2002 by S.I. 2002/344, art. 3 (with art. 4); s. 137 in force for certain purposes at 1.4.2002 by S.I. 2002/533, art. 2; s. 137 in force for certain purposes at 1.1.2003 by S.I. 2002/3032, art. 2; s. 137 in force for certain purposes at 1.4.2003 by S.I. 2003/708, art. 2(i) inforce for certain purposes at 1.4.2003 by S.I. 2003/708, art. 2(i)138 Short title, commencement and extentU.K.(1)This Act may be cited as the Criminal Justice and Police Act 2001.","['0.140*""force"" + 0.105*""purposes"" + 0.105*""art"" + 0.105*""certain"" + 0.047*""partly""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (2)The provisions of this Act, other than this section and sections 42 and 43, 81 to 85, 109, 116(7) and 119(7), shall come into force on such day as the Secretary of State may by order made by statutory instrument appoint; and different days may be appointed under this subsection for different purposes.","['0.068*""may"" + 0.068*""different"" + 0.045*""provisions"" + 0.045*""made"" + 0.045*""shall""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (3)An order under subsection (2) may contain such savings as the Secretary of State thinks fit.,"['0.111*""fit"" + 0.111*""contain"" + 0.111*""secretary"" + 0.111*""state"" + 0.111*""savings""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (4)Section 85 comes into force at the end of the period of two months beginning with the day on which this Act is passed.,"['0.091*""beginning"" + 0.091*""period"" + 0.091*""two"" + 0.091*""passed"" + 0.091*""months""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (5)Subject to subsections (6) to (12), this Act extends to England and Wales only.","['0.167*""act"" + 0.167*""subject"" + 0.167*""extends"" + 0.167*""wales"" + 0.167*""england""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (6)The following provisions of this Act extend to the United Kingdom—,"['0.200*""extend"" + 0.200*""provisions"" + 0.200*""united"" + 0.200*""act"" + 0.200*""following""']",Criminal Justice and Police Act 2001 (c. 16).csv
 F233(7). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,[],Criminal Justice and Police Act 2001 (c. 16).csv
 (8)Section 126 extends to Great Britain only.,"['0.250*""britain"" + 0.250*""great"" + 0.250*""section"" + 0.250*""extends""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (9)Sections 29, 39 to 41, 72, 75, 84 and 134 extend to England and Wales and Northern Ireland only.","['0.167*""england"" + 0.167*""wales"" + 0.167*""northern"" + 0.167*""extend"" + 0.167*""sections""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (10)Section 83 extends to Northern Ireland only.,"['0.250*""section"" + 0.250*""extends"" + 0.250*""northern"" + 0.250*""ireland""']",Criminal Justice and Police Act 2001 (c. 16).csv
 (11)Section 86(3) has the same extent as section 27 of the Petty Sessions (Ireland) Act 1851 (c. 93).,"['0.231*""section"" + 0.154*""ireland"" + 0.154*""petty"" + 0.154*""sessions"" + 0.154*""extent""']",Criminal Justice and Police Act 2001 (c. 16).csv
" (12)An amendment, repeal or revocation contained in Schedule 4, 6 or 7 has the same extent as the enactment or instrument to which it relates.","['0.111*""extent"" + 0.111*""relates"" + 0.111*""schedule"" + 0.111*""amendment"" + 0.111*""contained""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Subordinate Legislation MadeP1S. 138(2) power partly exercised: different dates appointed for specified provisions by S.I. 2001/2223, arts. 2-4S. 138(2) power partly exercised: 1.10.2001 appointed for specified provisions by S.I. 2001/3150, art. 2S. 138(2) power partly exercised: different dates appointed for specified provisions by S.I. 2001/3736, arts. 2, 3S. 138(2) power partly exercised: 1.3.2002 and 1.4.2002 appointed for specified provisions by {S.I. 2002/344}, arts. 2, 3 (with art. 4) S. 138(2) power partly exercised: 1.4.2002 and 2.4.2002 appointed for specified provisions by {S.I. 2002/533}, arts. 2, 3S. 138(2) power partly exercised: 22.4.2002 and 16.9.2002 appointed for specified provisions by {S.I. 2002/1097}, art. 2S. 138(2) power partly exercised: 12.8.2002 and 1.9.2002 appointed for specified provisions by {S.I. 2002/2050}, arts. 2, 3S. 138(2) power partly exercised: 1.1.2003 appointed for specified provisions by {S.I. 2002/3032}, art. 2S. 138(2) power partly exercised: 1.4.2003 appointed for specified provisions by {S.I. 2003/708}, art. 2S. 138(2) power partly exercised: 1.6.2004 and 8.10.2004 appointed for specified provisions by {S.I. 2004/1376}, arts. 2, 3Textual AmendmentsF232S. 138(6)(d) repealed (1.4.2006) by Serious Organised Crime and Police Act 2005 (c. 15), ss. 59, 174(2), 178, Sch. 4 para. 167, Sch. 17 Pt. 2; S.I. 2006/378, art. 4(1), Sch. paras. 10, 13(ll) (subject to art. 4(2)-(7))F233S. 138(7) repealed (1.10.2009) by The Companies Act 2006 (Consequential Amendments, Transitional Provisions and Savings) Order 2009 (S.I. 2009/1941), art. 1(2), Sch. 2 (with art. 10) SCHEDULESSections 50, 51 & 55SCHEDULE 1U.K. Powers of seizurePart 1U.K. Powers to which section 50 appliesPolice and Criminal Evidence Act 1984 (c. 60)U.K.1Each of the powers of seizure conferred by the provisions of Part 2 or 3 of the 1984 Act (police powers of entry, search and seizure).","['0.078*""provisions"" + 0.066*""power"" + 0.066*""appointed"" + 0.066*""exercised"" + 0.066*""specified""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Police and Criminal Evidence (Northern Ireland) Order 1989 (S.I. 1989 1341 (N.I. 12))U.K.2Each of the powers of seizure conferred by the provisions of Parts 3 and 4 of the Police and Criminal Evidence (Northern Ireland) Order 1989 (police powers of entry, search and seizure).","['0.114*""police"" + 0.086*""criminal"" + 0.086*""order"" + 0.086*""ireland"" + 0.086*""evidence""']",Criminal Justice and Police Act 2001 (c. 16).csv
 Official Secrets Act 1911 (c. 28)U.K.3The power of seizure conferred by section 9(1) of the Official Secrets Act 1911 (seizure of evidence that an offence under that Act has been or is about to be committed).,"['0.160*""act"" + 0.120*""secrets"" + 0.120*""seizure"" + 0.120*""official"" + 0.080*""section""']",Criminal Justice and Police Act 2001 (c. 16).csv
 Children and Young Persons (Harmful Publications) Act 1955 (c. 28)U.K.4The power of seizure conferred by section 3(1) of the Children and Young Persons (Harmful Publications) Act 1955 (seizure of copies of work to which that Act applies etc.).,"['0.111*""act"" + 0.083*""seizure"" + 0.083*""young"" + 0.083*""persons"" + 0.083*""harmful""']",Criminal Justice and Police Act 2001 (c. 16).csv
 Obscene Publications Act 1959 (c. 66)U.K.5Each of the powers of seizure conferred by section 3(1) and (2) of the Obscene Publications Act 1959 (power to search for and seize obscene materials and documents relating to a connected business).,"['0.118*""obscene"" + 0.088*""publications"" + 0.088*""act"" + 0.059*""section"" + 0.059*""powers""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Betting, Gaming and Lotteries Act 1963 (c. 2)U.K.6F234. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","['0.250*""gaming"" + 0.250*""betting"" + 0.250*""act"" + 0.250*""lotteries""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Textual AmendmentsF234Sch. 1 para. 6 repealed (1.9.2007) by Gambling Act 2005 (c. 19), ss. 356, 358, Sch. 16 para. 18(1)(a)(2), Sch. 17 (with ss. 352, 354, Sch. 16 para. 21); S.I. 2006/3272, art. 2(4) (with transitional provisions in art. 6, Sch. 4)Licensing Act 1964 (c. 26)U.K.7F235. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","['0.167*""sch"" + 0.133*""para"" + 0.100*""ss"" + 0.100*""act"" + 0.100*""art""']",Criminal Justice and Police Act 2001 (c. 16).csv
" Textual AmendmentsF235Sch. 1 para. 7 repealed (24.11.2005) by Licensing Act 2003 (c. 17), ss. 199, 201, Sch. 7 (with ss. 2(3),15(2), 195); S.I. 2005/3056, art. 2(2)Firearms Act 1968 (c. 27)U.K.8The power of seizure conferred by section 46 of the Firearms Act 1968 (seizure of firearms etc.).","['0.118*""act"" + 0.118*""firearms"" + 0.088*""ss"" + 0.088*""seizure"" + 0.059*""repealed""']",Criminal Justice and Police Act 2001 (c. 16).csv
 Trade Descriptions Act 1968 (c. 29)U.K.F2369. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,"['0.333*""act"" + 0.333*""descriptions"" + 0.333*""trade""']",Criminal Justice and Police Act 2001 (c. 16).csv
